Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid,Local_Trips,Interstate_Trips,Long_Distance_Trips
2019,12,California,0.0,11730.0,1227.0,92.0,1319.0,1417.0,4806916250.0,314415415.0,26951918.0
2019,12,Florida,0.0,8480.0,492.0,66.0,750.0,801.0,2071208548.0,119898843.0,14164588.0
2019,12,Georgia,0.0,3626.0,224.0,38.0,347.0,390.0,1000333541.0,83250583.0,10381977.0
2019,12,New York,0.0,6638.0,686.0,46.0,749.0,820.0,2653629109.0,125493615.0,12771020.0
2019,12,North Carolina,0.0,3960.0,250.0,8.0,366.0,409.0,1212107872.0,85932072.0,6151077.0
2019,12,Wyoming,0.0,374.0,33.0,0.0,32.0,46.0,76483178.0,9585488.0,1235212.0
2020,1,California,456.0,46204.0,4788.0,516.0,5304.0,5696.0,4053941631.0,282091326.0,27530447.0
2020,1,Florida,0.0,34304.0,2541.0,277.0,3015.0,3219.0,2138682936.0,119624646.0,16421438.0
2020,1,Georgia,0.0,14298.0,874.0,124.0,1023.0,1066.0,1029732010.0,84114274.0,13150360.0
2020,1,New York,244.0,27028.0,2605.0,227.0,2963.0,3320.0,2382469422.0,119364817.0,11408382.0
2020,1,North Carolina,0.0,15590.0,1431.0,76.0,1550.0,1722.0,1075042070.0,79344107.0,10293946.0
2020,1,Wyoming,0.0,950.0,120.0,0.0,120.0,183.0,61714591.0,6792893.0,1184922.0
2020,2,California,912.0,45776.0,4745.0,587.0,5339.0,5735.0,3874992984.0,288610290.0,37914849.0
2020,2,Florida,0.0,33944.0,2652.0,236.0,2901.0,3054.0,1931781657.0,113863946.0,19084400.0
2020,2,Georgia,174.0,14272.0,872.0,69.0,1063.0,1196.0,908587037.0,76589874.0,14222998.0
2020,2,New York,854.0,25816.0,2553.0,258.0,3044.0,3547.0,2216493513.0,115126739.0,16750532.0
2020,2,North Carolina,178.0,15944.0,1184.0,193.0,1588.0,1760.0,946397940.0,72862278.0,12675702.0
2020,2,Wyoming,0.0,1019.0,123.0,0.0,123.0,186.0,57972265.0,6628770.0,1334238.0
2020,3,California,2078.0,56890.0,6405.0,423.0,7142.0,8084.0,3190589887.0,251393543.0,38055297.0
2020,3,Florida,1283.0,43164.0,4400.0,199.0,4634.0,5143.0,1970777111.0,112240264.0,19439684.0
2020,3,Georgia,1167.0,18266.0,1459.0,26.0,1610.0,2090.0,995658537.0,81591292.0,15868975.0
2020,3,New York,13156.0,55658.0,9877.0,786.0,11105.0,18085.0,2241046708.0,110555423.0,16340276.0
2020,3,North Carolina,906.0,19874.0,1375.0,151.0,1548.0,1663.0,1025085568.0,76590363.0,14472462.0
2020,3,Wyoming,32.0,1391.0,170.0,0.0,176.0,246.0,52973536.0,6404231.0,1343322.0
2020,4,California,3998.0,47496.0,5962.0,63.0,6006.0,7920.0,2404329990.0,186518633.0,25884913.0
2020,4,Florida,2502.0,35160.0,3623.0,60.0,3671.0,4914.0,1595200054.0,84088904.0,11744976.0
2020,4,Georgia,2026.0,16102.0,1858.0,10.0,1882.0,3082.0,860059882.0,62608393.0,10539259.0
2020,4,New York,40567.0,75640.0,20088.0,1235.0,21315.0,43895.0,1728354587.0,78367510.0,9965246.0
2020,4,North Carolina,888.0,16142.0,1264.0,20.0,1290.0,1872.0,887127919.0,57451329.0,8125080.0
2020,4,Wyoming,144.0,948.0,132.0,0.0,132.0,199.0,46558913.0,5388291.0,905849.0
2020,5,California,4896.0,55824.0,6633.0,77.0,6668.0,9154.0,2745576052.0,230246642.0,30732074.0
2020,5,Florida,2490.0,42388.0,3838.0,40.0,3876.0,5258.0,1892085582.0,107292877.0,15458301.0
2020,5,Georgia,1668.0,18796.0,1642.0,5.0,1650.0,2688.0,984862705.0,77036266.0,14459798.0
2020,5,New York,11070.0,40153.0,6270.0,44.0,6287.0,13261.0,2132224992.0,101210688.0,12333983.0
2020,5,North Carolina,1244.0,20160.0,1456.0,14.0,1464.0,2250.0,990266793.0,72372020.0,11485967.0
2020,5,Wyoming,144.0,1210.0,143.0,0.0,143.0,252.0,58705866.0,6993468.0,1304533.0
2020,6,California,4096.0,45162.0,4721.0,42.0,4734.0,6774.0,2542834144.0,236614940.0,35117941.0
2020,6,Florida,2785.0,35400.0,3525.0,30.0,3548.0,4862.0,1794442044.0,109028824.0,18059779.0
2020,6,Georgia,1044.0,14420.0,1045.0,0.0,1046.0,1808.0,910504369.0,77037432.0,16345481.0
2020,6,New York,2013.0,25678.0,2004.0,16.0,2008.0,3424.0,2045657930.0,106472195.0,14537529.0
2020,6,North Carolina,836.0,15446.0,1032.0,4.0,1034.0,1530.0,918698278.0,73199097.0,14220652.0
2020,6,Wyoming,96.0,952.0,132.0,0.0,132.0,216.0,54335604.0,7385596.0,1625325.0
2020,7,California,7780.0,49648.0,7076.0,14.0,7092.0,10986.0,2285179705.0,234383014.0,37062512.0
2020,7,Florida,10039.0,43814.0,7005.0,45.0,7035.0,12217.0,1700313450.0,110829493.0,20423411.0
2020,7,Georgia,2860.0,16948.0,1825.0,2.0,1828.0,3550.0,868876860.0,78742588.0,17819506.0
2020,7,New York,1183.0,23134.0,1834.0,16.0,1841.0,2466.0,1934952362.0,108978970.0,17081204.0
2020,7,North Carolina,1450.0,16308.0,1432.0,0.0,1434.0,2343.0,875405777.0,75435840.0,15785889.0
2020,7,Wyoming,128.0,1089.0,110.0,0.0,110.0,180.0,49697633.0,7183187.0,1632946.0
2020,8,California,8561.0,61290.0,8296.0,14.0,8319.0,12090.0,2524071283.0,251616541.0,44226364.0
2020,8,Florida,10160.0,51892.0,8088.0,60.0,8110.0,12694.0,1675786439.0,114207098.0,24449174.0
2020,8,Georgia,4078.0,21606.0,2814.0,2.0,2819.0,5167.0,849064411.0,80540599.0,19688622.0
2020,8,New York,1761.0,30327.0,1932.0,8.0,1937.0,2426.0,1829247337.0,114214259.0,26076253.0
2020,8,North Carolina,2044.0,21018.0,2217.0,8.0,2224.0,3441.0,846206104.0,77242674.0,17383154.0
2020,8,Wyoming,160.0,1348.0,154.0,0.0,154.0,242.0,49574441.0,7204122.0,1902253.0
2020,9,California,3848.0,45642.0,5178.0,0.0,5199.0,7074.0,2570598101.0,249522871.0,35627888.0
2020,9,Florida,3495.0,35870.0,4156.0,20.0,4170.0,5871.0,1654877340.0,110781117.0,18945407.0
2020,9,Georgia,1828.0,15810.0,1506.0,2.0,1508.0,2499.0,831619036.0,79291421.0,16301025.0
2020,9,New York,1525.0,24525.0,2257.0,8.0,2274.0,2934.0,1818083019.0,112276525.0,16402949.0
2020,9,North Carolina,1654.0,16868.0,1659.0,4.0,1662.0,2533.0,820966549.0,75583251.0,14290113.0
2020,9,Wyoming,144.0,1056.0,110.0,0.0,110.0,174.0,47855214.0,6733827.0,1683142.0
2020,10,California,2602.0,43982.0,4547.0,42.0,4574.0,6010.0,2482801770.0,254225415.0,29743435.0
2020,10,Florida,2520.0,34936.0,3641.0,10.0,3653.0,4799.0,1737910568.0,117589234.0,15511365.0
2020,10,Georgia,1372.0,15362.0,1397.0,5.0,1404.0,2109.0,856625082.0,84270136.0,13499349.0
2020,10,New York,1529.0,28184.0,1808.0,56.0,1827.0,2454.0,1821749596.0,117636173.0,14164756.0
2020,10,North Carolina,1840.0,17014.0,1825.0,0.0,1826.0,2757.0,840750502.0,80690195.0,12537416.0
2020,10,Wyoming,225.0,1083.0,126.0,0.0,126.0,252.0,46225988.0,6743750.0,1283724.0
2020,11,California,7733.0,63460.0,8317.0,35.0,8351.0,12063.0,2652809014.0,242654677.0,29101220.0
2020,11,Florida,4350.0,45486.0,5478.0,55.0,5524.0,7128.0,1755770629.0,109361711.0,16504479.0
2020,11,Georgia,2404.0,20402.0,2160.0,4.0,2166.0,3378.0,864253522.0,78611410.0,13196664.0
2020,11,New York,3705.0,38395.0,3314.0,40.0,3328.0,5802.0,1871424231.0,109203811.0,14263502.0
2020,11,North Carolina,3066.0,22830.0,2583.0,18.0,2594.0,4213.0,849548650.0,73762050.0,12628466.0
2020,11,Wyoming,486.0,1604.0,292.0,0.0,292.0,531.0,46132159.0,5794374.0,1111216.0
2020,12,California,28025.0,78200.0,19675.0,63.0,19725.0,31649.0,2496914637.0,243513016.0,31462326.0
2020,12,Florida,5880.0,41156.0,5864.0,45.0,5884.0,7890.0,1800120607.0,119255113.0,18454047.0
2020,12,Georgia,3946.0,19512.0,2984.0,7.0,2994.0,4995.0,860224252.0,84931713.0,14445648.0
2020,12,New York,8369.0,34662.0,5157.0,52.0,5182.0,10593.0,1836001732.0,111608712.0,14577932.0
2020,12,North Carolina,4902.0,21030.0,3551.0,6.0,3556.0,5939.0,849109140.0,80349080.0,12892250.0
2020,12,Wyoming,383.0,1473.0,257.0,0.0,257.0,443.0,46395244.0,6417929.0,1280021.0
2021,1,California,43308.0,104202.0,30825.0,98.0,30901.0,47756.0,2175149452.0,189299720.0,33405997.0
2021,1,Florida,11246.0,54890.0,10270.0,60.0,10302.0,14330.0,1799593701.0,97983145.0,18477829.0
2021,1,Georgia,8864.0,28666.0,5829.0,5.0,5842.0,9943.0,901667897.0,70217505.0,11940949.0
2021,1,New York,14629.0,47737.0,8034.0,60.0,8066.0,17166.0,1916431121.0,89442968.0,12677675.0
2021,1,North Carolina,7904.0,28726.0,5459.0,4.0,5463.0,9125.0,899551246.0,66298306.0,10270770.0
2021,1,Wyoming,329.0,1565.0,242.0,0.0,242.0,395.0,61037460.0,6398939.0,1341080.0
2021,2,California,12554.0,55874.0,10829.0,70.0,10859.0,15648.0,2541481872.0,213605794.0,33570635.0
2021,2,Florida,5323.0,39406.0,5720.0,35.0,5742.0,7572.0,1854409344.0,101944032.0,15806066.0
2021,2,Georgia,2938.0,17448.0,2363.0,7.0,2374.0,3707.0,936669633.0,75430210.0,11179153.0
2021,2,New York,7805.0,32715.0,4832.0,32.0,4845.0,9663.0,1960430004.0,90539167.0,12350834.0
2021,2,North Carolina,2769.0,18504.0,2345.0,4.0,2348.0,3594.0,926751218.0,69986515.0,9069516.0
2021,2,Wyoming,173.0,1068.0,114.0,0.0,114.0,192.0,66016463.0,6566622.0,1197407.0
2021,3,California,4189.0,47278.0,4784.0,35.0,4799.0,7107.0,2940510582.0,236801373.0,35473748.0
2021,3,Florida,3230.0,35908.0,4367.0,30.0,4392.0,5453.0,2189026036.0,122222508.0,19427973.0
2021,3,Georgia,1216.0,14974.0,1367.0,2.0,1370.0,1953.0,1139351394.0,87762177.0,12114891.0
2021,3,New York,4917.0,31274.0,3614.0,16.0,3623.0,6710.0,2451877246.0,109874459.0,12821405.0
2021,3,North Carolina,1074.0,16040.0,1382.0,8.0,1387.0,1932.0,1148900478.0,84671641.0,10469489.0
2021,3,Wyoming,160.0,1020.0,132.0,0.0,132.0,216.0,79150120.0,7691195.0,1484987.0
2021,4,California,2079.0,42912.0,3792.0,0.0,3806.0,5241.0,3467390028.0,268494352.0,38019455.0
2021,4,Florida,2660.0,36116.0,3907.0,40.0,3927.0,4913.0,2308109181.0,118359649.0,17713320.0
2021,4,Georgia,1141.0,15166.0,1119.0,2.0,1202.0,1780.0,1126253949.0,87047032.0,14845146.0
2021,4,New York,3754.0,26620.0,3124.0,16.0,3131.0,5451.0,2571572999.0,118775699.0,15609065.0
2021,4,North Carolina,986.0,16308.0,1269.0,8.0,1274.0,1844.0,1182881493.0,83592923.0,11944983.0
2021,4,Wyoming,112.0,972.0,110.0,0.0,110.0,190.0,76647366.0,7635072.0,1374437.0
2021,5,California,1966.0,52812.0,3975.0,28.0,3993.0,5308.0,3742878503.0,271354288.0,35098551.0
2021,5,Florida,2898.0,44580.0,4157.0,45.0,4172.0,5085.0,2559745644.0,128005936.0,18777783.0
2021,5,Georgia,870.0,18126.0,1197.0,0.0,1198.0,1641.0,1105405107.0,83878498.0,13342242.0
2021,5,New York,2265.0,34633.0,3060.0,16.0,3073.0,4537.0,2671968262.0,122928630.0,15055720.0
2021,5,North Carolina,1082.0,20268.0,1588.0,8.0,1595.0,2106.0,1215247446.0,79619547.0,11907669.0
2021,5,Wyoming,224.0,1337.0,164.0,0.0,164.0,253.0,70515930.0,7171165.0,1232753.0
2021,6,California,806.0,42392.0,3148.0,0.0,3162.0,3748.0,3473684824.0,256261451.0,33972993.0
2021,6,Florida,1666.0,35160.0,3268.0,15.0,3289.0,4174.0,2560304612.0,129680292.0,17871029.0
2021,6,Georgia,396.0,14004.0,819.0,4.0,824.0,1063.0,1079268579.0,81429285.0,12678120.0
2021,6,New York,770.0,24890.0,1642.0,24.0,1648.0,2030.0,2625298247.0,121069351.0,14939132.0
2021,6,North Carolina,542.0,15372.0,1080.0,0.0,1081.0,1471.0,1166347297.0,77813322.0,11954717.0
2021,6,Wyoming,192.0,1091.0,132.0,0.0,132.0,189.0,68875528.0,7251007.0,1142685.0
2021,7,California,2239.0,42898.0,3520.0,14.0,3536.0,5213.0,3814512580.0,267717984.0,39943081.0
2021,7,Florida,4008.0,38166.0,5146.0,40.0,5178.0,6650.0,2374843584.0,131126849.0,22034598.0
2021,7,Georgia,684.0,14476.0,1074.0,0.0,1076.0,1446.0,1094168232.0,85333319.0,14719558.0
2021,7,New York,1249.0,24144.0,1866.0,8.0,1874.0,2466.0,2745926220.0,133758634.0,20297571.0
2021,7,North Carolina,602.0,15748.0,1114.0,0.0,1115.0,1444.0,1203643922.0,79471662.0,14566020.0
2021,7,Wyoming,185.0,1127.0,137.0,0.0,137.0,197.0,70960259.0,6624873.0,1253069.0
2021,8,California,9099.0,61492.0,9258.0,28.0,9290.0,13125.0,3775396538.0,273980317.0,37443277.0
2021,8,Florida,24395.0,68378.0,20005.0,60.0,20046.0,27381.0,2212110516.0,117878378.0,20059016.0
2021,8,Georgia,6930.0,25238.0,4556.0,7.0,4568.0,7900.0,1094303973.0,82189454.0,12814262.0
2021,8,New York,2044.0,32539.0,3134.0,32.0,3154.0,4607.0,2768268221.0,132519767.0,19938575.0
2021,8,North Carolina,4278.0,23864.0,3865.0,14.0,3876.0,5591.0,1189756428.0,76089836.0,13297234.0
2021,8,Wyoming,303.0,1724.0,237.0,0.0,237.0,350.0,67193859.0,6192491.0,1182541.0
2021,9,California,8500.0,50748.0,8476.0,14.0,8501.0,11322.0,3647108757.0,274409370.0,36486146.0
2021,9,Florida,14417.0,48710.0,12143.0,30.0,12168.0,16871.0,2104766149.0,111823028.0,19532731.0
2021,9,Georgia,6802.0,21762.0,4887.0,9.0,4900.0,7616.0,1057704985.0,79421163.0,12485511.0
2021,9,New York,2761.0,27488.0,3066.0,0.0,3072.0,4825.0,2680187957.0,127362471.0,17923115.0
2021,9,North Carolina,5171.0,20628.0,4159.0,8.0,4164.0,6244.0,1144688349.0,71261681.0,12037048.0
2021,9,Wyoming,388.0,1391.0,266.0,0.0,266.0,460.0,65306076.0,6325544.0,1124001.0
2021,10,California,6557.0,60758.0,8190.0,28.0,8222.0,10703.0,3727016365.0,280186134.0,40080246.0
2021,10,Florida,5554.0,47334.0,6665.0,30.0,6695.0,8590.0,2255994819.0,115039236.0,21307438.0
2021,10,Georgia,3200.0,20916.0,2825.0,8.0,2839.0,4224.0,1119996733.0,85184838.0,14190449.0
2021,10,New York,3093.0,34526.0,3766.0,8.0,3777.0,5571.0,2854256528.0,132604385.0,18019684.0
2021,10,North Carolina,3476.0,23018.0,3560.0,4.0,3566.0,4985.0,1251512719.0,74749723.0,13663541.0
2021,10,Wyoming,552.0,2036.0,384.0,0.0,384.0,604.0,70226332.0,6130961.0,1218360.0
2021,11,California,5157.0,48166.0,6672.0,35.0,6706.0,8640.0,3578754930.0,264276119.0,38761572.0
2021,11,Florida,1440.0,35962.0,3257.0,30.0,3296.0,3961.0,2213372475.0,110322803.0,21083567.0
