Year,Month,Age_Group,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2019,12,0-17 years,0.0,667.0,19.0,22.0,41.0,41.0
2019,12,18-64 years,0.0,14706.0,767.0,183.0,950.0,950.0
2019,12,65 years and over,0.0,44655.0,3316.0,227.0,3543.0,3543.0
2020,1,0-17 years,0.0,2681.0,81.0,59.0,140.0,140.0
2020,1,18-64 years,2.0,56944.0,3047.0,749.0,3796.0,3798.0
2020,1,65 years and over,4.0,177901.0,12781.0,1107.0,13888.0,13889.0
2020,2,0-17 years,0.0,2740.0,84.0,72.0,156.0,156.0
2020,2,18-64 years,11.0,57067.0,2953.0,814.0,3767.0,3771.0
2020,2,65 years and over,14.0,176221.0,12166.0,1414.0,13580.0,13590.0
2020,3,0-17 years,9.0,3095.0,87.0,33.0,120.0,125.0
2020,3,18-64 years,3602.0,75815.0,5838.0,881.0,6719.0,8652.0
2020,3,65 years and over,10397.0,233327.0,22645.0,1824.0,24469.0,29703.0
2020,4,0-17 years,16.0,2468.0,31.0,2.0,33.0,48.0
2020,4,18-64 years,11680.0,70077.0,8295.0,317.0,8612.0,14947.0
2020,4,65 years and over,50535.0,226053.0,34365.0,626.0,34991.0,63509.0
2020,5,0-17 years,21.0,3407.0,55.0,3.0,58.0,75.0
2020,5,18-64 years,7214.0,80228.0,6314.0,30.0,6344.0,10235.0
2020,5,65 years and over,31651.0,227392.0,24290.0,84.0,24374.0,43203.0
2020,6,0-17 years,20.0,2770.0,33.0,0.0,33.0,50.0
2020,6,18-64 years,4058.0,63165.0,4173.0,9.0,4182.0,6391.0
2020,6,65 years and over,12368.0,167983.0,13526.0,26.0,13552.0,20728.0
2020,7,0-17 years,26.0,2729.0,34.0,0.0,34.0,54.0
2020,7,18-64 years,7307.0,67948.0,6060.0,15.0,6075.0,9745.0
2020,7,65 years and over,22117.0,182364.0,19228.0,32.0,19260.0,30809.0
2020,8,0-17 years,18.0,3244.0,42.0,0.0,42.0,59.0
2020,8,18-64 years,7258.0,81671.0,6944.0,11.0,6955.0,10308.0
2020,8,65 years and over,24944.0,225718.0,23040.0,37.0,23077.0,35665.0
2020,9,0-17 years,17.0,2606.0,38.0,0.0,38.0,52.0
2020,9,18-64 years,3575.0,61655.0,4189.0,11.0,4200.0,5894.0
2020,9,65 years and over,13835.0,175143.0,15249.0,13.0,15262.0,22483.0
2020,10,0-17 years,11.0,2529.0,44.0,0.0,44.0,53.0
2020,10,18-64 years,4015.0,61930.0,4435.0,16.0,4451.0,6458.0
2020,10,65 years and over,18991.0,183140.0,17716.0,48.0,17764.0,27921.0
2020,11,0-17 years,33.0,3185.0,49.0,2.0,51.0,80.0
2020,11,18-64 years,10596.0,84167.0,8564.0,30.0,8594.0,13724.0
2020,11,65 years and over,56272.0,270846.0,38492.0,101.0,38593.0,68444.0
2020,12,0-17 years,32.0,2454.0,40.0,0.0,40.0,64.0
2020,12,18-64 years,15642.0,76996.0,11049.0,30.0,11079.0,18401.0
2020,12,65 years and over,75760.0,256293.0,47404.0,106.0,47510.0,86282.0
2021,1,0-17 years,55.0,3189.0,58.0,1.0,59.0,104.0
2021,1,18-64 years,21676.0,97933.0,15402.0,39.0,15441.0,24965.0
2021,1,65 years and over,90978.0,311938.0,60090.0,121.0,60211.0,103786.0
2021,2,0-17 years,21.0,2559.0,40.0,1.0,41.0,57.0
2021,2,18-64 years,9053.0,68694.0,7613.0,22.0,7635.0,11513.0
2021,2,65 years and over,30637.0,199704.0,25569.0,60.0,25629.0,40057.0
2021,3,0-17 years,24.0,2629.0,39.0,0.0,39.0,58.0
2021,3,18-64 years,5318.0,63883.0,5084.0,21.0,5105.0,7569.0
2021,3,65 years and over,13934.0,174766.0,15797.0,32.0,15829.0,22607.0
2021,4,0-17 years,27.0,2741.0,43.0,1.0,44.0,64.0
2021,4,18-64 years,5719.0,65481.0,5303.0,16.0,5319.0,8000.0
2021,4,65 years and over,11782.0,171517.0,14555.0,23.0,14578.0,20141.0
2021,5,0-17 years,34.0,3561.0,56.0,1.0,57.0,83.0
2021,5,18-64 years,5599.0,80111.0,6014.0,10.0,6024.0,8434.0
2021,5,65 years and over,10406.0,206755.0,15480.0,30.0,15510.0,20297.0
2021,6,0-17 years,15.0,2790.0,36.0,3.0,39.0,52.0
2021,6,18-64 years,2574.0,63167.0,3793.0,13.0,3806.0,4918.0
2021,6,65 years and over,4400.0,162318.0,10468.0,16.0,10484.0,12573.0
2021,7,0-17 years,19.0,2816.0,57.0,0.0,57.0,72.0
2021,7,18-64 years,4166.0,64260.0,4657.0,9.0,4666.0,6540.0
2021,7,65 years and over,6316.0,165541.0,11996.0,21.0,12017.0,14763.0
2021,8,0-17 years,116.0,3479.0,112.0,1.0,113.0,186.0
2021,8,18-64 years,24231.0,101683.0,17567.0,31.0,17598.0,27377.0
2021,8,65 years and over,33391.0,240458.0,31323.0,49.0,31372.0,44591.0
2021,9,0-17 years,112.0,2906.0,89.0,1.0,90.0,168.0
2021,9,18-64 years,24194.0,86037.0,17478.0,27.0,17505.0,26854.0
2021,9,65 years and over,33500.0,200997.0,29121.0,41.0,29162.0,42765.0
2021,10,0-17 years,70.0,3413.0,107.0,5.0,112.0,152.0
2021,10,18-64 years,17032.0,92465.0,13699.0,22.0,13721.0,20207.0
2021,10,65 years and over,28144.0,240251.0,28132.0,40.0,28172.0,40001.0
2021,11,0-17 years,47.0,2709.0,98.0,1.0,99.0,134.0
2021,11,18-64 years,10193.0,70874.0,8599.0,28.0,8627.0,12837.0
2021,11,65 years and over,20896.0,198394.0,21745.0,69.0,21814.0,31057.0
2021,12,0-17 years,69.0,2763.0,100.0,6.0,106.0,154.0
2021,12,18-64 years,13972.0,75950.0,10778.0,94.0,10872.0,16925.0
2021,12,65 years and over,28076.0,210828.0,26879.0,252.0,27131.0,39216.0
2022,1,0-17 years,201.0,3298.0,108.0,8.0,116.0,268.0
2022,1,18-64 years,24450.0,102185.0,16339.0,155.0,16494.0,28115.0
2022,1,65 years and over,70587.0,310744.0,50766.0,496.0,51262.0,84991.0
2022,2,0-17 years,91.0,2715.0,83.0,9.0,92.0,153.0
2022,2,18-64 years,9215.0,68270.0,7450.0,64.0,7514.0,11707.0
2022,2,65 years and over,31898.0,207479.0,26117.0,206.0,26323.0,41784.0
2022,3,0-17 years,52.0,2692.0,67.0,6.0,73.0,115.0
2022,3,18-64 years,2582.0,60191.0,3505.0,67.0,3572.0,4911.0
2022,3,65 years and over,9302.0,175925.0,13216.0,215.0,13431.0,18636.0
2022,4,0-17 years,28.0,2709.0,58.0,10.0,68.0,87.0
2022,4,18-64 years,1189.0,58138.0,2762.0,72.0,2834.0,3555.0
2022,4,65 years and over,4515.0,168639.0,10566.0,307.0,10873.0,13814.0
2022,5,0-17 years,52.0,3569.0,101.0,15.0,116.0,152.0
2022,5,18-64 years,1461.0,73109.0,3402.0,91.0,3493.0,4470.0
2022,5,65 years and over,7284.0,210767.0,13545.0,331.0,13876.0,18716.0
2022,6,0-17 years,36.0,2961.0,60.0,10.0,70.0,98.0
2022,6,18-64 years,1423.0,59709.0,2755.0,48.0,2803.0,3726.0
2022,6,65 years and over,7621.0,169277.0,11257.0,162.0,11419.0,16356.0
2022,7,0-17 years,70.0,3762.0,68.0,6.0,74.0,132.0
2022,7,18-64 years,2401.0,75316.0,3562.0,22.0,3584.0,5218.0
2022,7,65 years and over,13046.0,215048.0,14986.0,87.0,15073.0,23584.0
2022,8,0-17 years,55.0,2802.0,58.0,4.0,62.0,103.0
2022,8,18-64 years,1864.0,58518.0,2741.0,14.0,2755.0,3986.0
2022,8,65 years and over,10507.0,171953.0,12040.0,42.0,12082.0,18822.0
2022,9,0-17 years,41.0,2801.0,74.0,1.0,75.0,106.0
2022,9,18-64 years,1462.0,58848.0,2813.0,23.0,2836.0,3788.0
2022,9,65 years and over,8734.0,172461.0,11485.0,55.0,11540.0,17304.0
2022,10,0-17 years,44.0,3654.0,101.0,26.0,127.0,154.0
2022,10,18-64 years,1488.0,73436.0,3405.0,124.0,3529.0,4532.0
2022,10,65 years and over,9491.0,223259.0,14869.0,243.0,15112.0,21406.0
2022,11,0-17 years,31.0,2914.0,95.0,70.0,165.0,188.0
2022,11,18-64 years,1232.0,61398.0,3127.0,534.0,3661.0,4494.0
2022,11,65 years and over,8281.0,188689.0,13547.0,1161.0,14708.0,20092.0
2022,12,0-17 years,39.0,2854.0,90.0,68.0,158.0,188.0
2022,12,18-64 years,1698.0,64116.0,3600.0,981.0,4581.0,5675.0
2022,12,65 years and over,11459.0,204518.0,16647.0,2968.0,19615.0,26769.0
2023,1,0-17 years,46.0,3444.0,118.0,39.0,157.0,189.0
2023,1,18-64 years,2009.0,75943.0,4361.0,479.0,4840.0,6060.0
2023,1,65 years and over,14280.0,245014.0,20280.0,1803.0,22083.0,30854.0
2023,2,0-17 years,30.0,2728.0,69.0,13.0,82.0,105.0
2023,2,18-64 years,1097.0,58944.0,2938.0,70.0,3008.0,3735.0
2023,2,65 years and over,7454.0,185987.0,13573.0,291.0,13864.0,18463.0
2023,3,0-17 years,26.0,2812.0,81.0,5.0,86.0,106.0
2023,3,18-64 years,776.0,57514.0,2736.0,43.0,2779.0,3265.0
2023,3,65 years and over,5914.0,181888.0,12514.0,160.0,12674.0,16493.0
2023,4,0-17 years,9.0,3436.0,87.0,4.0,91.0,97.0
2023,4,18-64 years,693.0,71797.0,3445.0,46.0,3491.0,3910.0
2023,4,65 years and over,5030.0,217041.0,14261.0,147.0,14408.0,17631.0
2023,5,0-17 years,11.0,2791.0,69.0,7.0,76.0,83.0
2023,5,18-64 years,386.0,56040.0,2511.0,29.0,2540.0,2774.0
2023,5,65 years and over,2610.0,167591.0,10361.0,108.0,10469.0,12135.0
2023,6,0-17 years,7.0,2740.0,58.0,5.0,63.0,67.0
2023,6,18-64 years,286.0,55802.0,2337.0,20.0,2357.0,2549.0
2023,6,65 years and over,2056.0,164805.0,9639.0,84.0,9723.0,11043.0
2023,7,0-17 years,9.0,3361.0,41.0,3.0,44.0,50.0
2023,7,18-64 years,313.0,70305.0,2738.0,31.0,2769.0,2970.0
2023,7,65 years and over,2407.0,203664.0,11423.0,74.0,11497.0,13014.0
2023,8,0-17 years,13.0,2568.0,27.0,0.0,27.0,38.0
2023,8,18-64 years,458.0,54221.0,2189.0,16.0,2205.0,2493.0
2023,8,65 years and over,3365.0,165407.0,9773.0,65.0,9838.0,11867.0
2023,9,0-17 years,8.0,2273.0,19.0,2.0,21.0,29.0
2023,9,18-64 years,582.0,51178.0,2234.0,31.0,2265.0,2612.0
2023,9,65 years and over,4767.0,166105.0,10596.0,87.0,10683.0,13520.0
2023,10,0-17 years,5.0,1219.0,15.0,2.0,17.0,22.0
2023,10,18-64 years,361.0,34090.0,1404.0,26.0,1430.0,1669.0
2023,10,65 years and over,3646.0,133121.0,8317.0,74.0,8391.0,10626.0
